Variable Name,Description
acc_now_delinq,The number of accounts on which the borrower is now delinquent.
annual_inc,The self-reported annual income provided by the borrower during registration.
application_type,Indicates whether the loan is an individual application or a joint application with two co-borrowers
collection_recovery_fee,post charge off collection fee
collections_12_mths_ex_med,Number of collections in 12 months excluding medical collections
delinq_2yrs,The number of 30+ days past-due incidences of delinquency in the borrower's credit file for the past 2 years
dti,"A ratio calculated using the borrower’s total monthly debt payments on the total debt obligations, excluding mortgage and the requested LC loan, divided by the borrower’s self-reported monthly income."
emp_length,Employment length in years. Possible values are between 0 and 10 where 0 means less than one year and 10 means ten or more years.
grade,LC assigned loan grade
home_ownership,"The home ownership status provided by the borrower during registration or obtained from the credit report. Our values are: RENT, OWN, MORTGAGE, OTHER"
inq_last_6mths,The number of inquiries in past 6 months (excluding auto and mortgage inquiries)
installment,The monthly payment owed by the borrower if the loan originates.
int_rate,Interest Rate on the loan
last_pymnt_amnt,Last total payment amount received
loan_amnt,"The listed amount of the loan applied for by the borrower. If at some point in time, the credit department reduces the loan amount, then it will be reflected in this value."
loan_status,Current status of the loan
mths_since_last_delinq,The number of months since the borrower's last delinquency.
open_acc,The number of open credit lines in the borrower's credit file.
pub_rec,Number of derogatory public records
recoveries,post charge off gross recovery
revol_bal,Total credit revolving balance
revol_util,"Revolving line utilization rate, or the amount of credit the borrower is using relative to all available revolving credit."
tot_coll_amt,Total collection amounts ever owed
tot_cur_bal,Total current balance of all accounts
total_acc,The total number of credit lines currently in the borrower's credit file
total_pymnt,Payments received to date for total amount funded
total_pymnt_inv,Payments received to date for portion of total amount funded by investors
total_rec_int,Interest received to date
total_rec_late_fee,Late fees received to date
total_rec_prncp,Principal received to date
total_rev_hi_lim,Total revolving high credit/credit limit
